,Unnamed: 0,POINT_ID,CURRENT,FORCE,TH_ORDER,TH1,TH2,TH3,1,10,r_max_time,r_max,slope_exp,intercept_exp,assesment_txt,OK,anomaly,gap,shunt
0,0,127178,9.4,2.0,0.7 + 0.7 + 0,0.7,0.7,0.0,182,93,124.0,83.0,-0.0063834640591885,5.210390151135984,OK,1,0,0,0
1,1,170002,9.0,2.0,0.7 + 0.7 + 0,0.7,0.7,0.0,105,64,77.0,83.0,-0.0030936808205384,4.6570540309780615,OK,1,0,0,0
2,2,170005,9.4,2.0,0.7 + 0.7 + 0,0.7,0.7,0.0,105,53,87.0,77.0,-0.0036064526546958,4.657566802812219,OK,1,0,0,0
3,3,127179,9.4,2.0,0.7 + 0.7 + 0,0.7,0.7,0.0,109,77,73.0,96.0,-0.001763884593907,4.69311176682305,OK,1,0,0,0
4,4,135125,9.4,2.0,0.7 + 0.7 + 0,0.7,0.7,0.0,59,46,104.0,81.0,0.0030768127258904,4.0744606311798295,OK,1,0,0,0
5,5,135128,9.4,2.0,0.7 + 0.7 + 0,0.7,0.7,0.0,52,41,135.0,73.0,0.0025314606161713,3.948712257965256,OK,1,0,0,0
6,6,135130,9.4,2.0,0.7 + 0.7 + 0,0.7,0.7,0.0,57,53,90.0,81.0,0.003948290863347,4.039102976971203,OK,1,0,0,0
7,7,527231,10.7,2.0,0.7 + 0.7 + 0,0.7,0.7,0.0,42,45,67.0,52.0,0.0032359712166372,3.734433647066731,OK,1,0,0,0
8,8,527229,10.5,2.0,0.7 + 0.7 + 0,0.7,0.7,0.0,181,66,78.0,65.0,-0.0133001267710414,5.211797158036868,OK,1,0,0,0
9,9,527265,10.4,2.0,0.7 + 0.7 + 0,0.7,0.7,0.0,175,66,131.0,66.0,-0.0075010094761314,5.172286983399646,OK,1,0,0,0
10,10,527228,10.0,2.0,0.7 + 0.7 + 0,0.7,0.7,0.0,177,71,120.0,67.0,-0.0081635051527971,5.184313237726626,OK,1,0,0,0
11,11,527697,9.8,2.0,0.7 + 0.7 + 0,0.7,0.7,0.0,277,104,69.0,53.0,-0.0243194940093414,5.64833700019668,gap,0,0,1,0
12,12,527230,10.0,2.0,0.7 + 0.7 + 0,0.7,0.7,0.0,56,57,26.0,58.0,0.0014036527924507,4.023948037942699,OK,1,0,0,0
13,13,527696,9.4,2.0,0.7 + 0.7 + 0,0.7,0.7,0.0,179,88,48.0,79.0,-0.0174029351781645,5.20478874101892,OK,1,0,0,0
